,Month,Filename,INSTITUTIONCODE,REPORTINGDATE,FILES_RECEIPTS,EDI_RECEIPTS,BSIS_RECEIPTS,BSIS_FINAL_RECEIPTS
83,January,A1991078310124.xls,A199,31/01/2024,94,223,137,132
84,July,A1241078310724.xls,A124,31/07/2024,290,290,290,290
85,July,A1251078310724.xls,A125,31/07/2024,1326,1326,1326,1326
86,July,A1281078310724.xls,A128,31/07/2024,546,546,546,546
87,July,A1291078310724.xls,A129,31/07/2024,13964,13964,13964,13964
88,July,A1341078310724.xls,A134,31/07/2024,108,108,108,108
89,July,A1361078310724.xls,A136,31/07/2024,16,16,16,16
90,July,A1381078310724.xls,A138,31/07/2024,19,19,19,19
91,July,A1411078310724.xls,A141,31/07/2024,3,3,3,3
92,July,A1481078310724.xls,A148,31/07/2024,443,443,442,442
93,July,A1491078310724.xls,A149,31/07/2024,2914,2914,2914,2914
94,July,A1501078310724.xls,A150,31/07/2024,7611,7611,7611,7611
95,July,A1511078310724.xls,A151,31/07/2024,1122,1122,1122,1122
96,July,A1521078310724.xls,A152,31/07/2024,11,11,11,11
97,July,A1551078310724.xls,A155,31/07/2024,386,386,386,386
98,July,A1581078310724.xls,A158,31/07/2024,3016,3016,3016,3016
99,July,A1601078310724.xls,A160,31/07/2024,1,,,
100,July,A1631078310724.xls,A163,31/07/2024,39,20,20,20
101,July,A1671078310724.xls,A167,31/07/2024,13,13,13,13
102,July,A1701078310724.xls,A170,31/07/2024,10,10,10,10
103,July,A1711078310724.xls,A171,31/07/2024,70,70,70,70
104,July,A1741078310724.xls,A174,31/07/2024,1,,,
105,July,A1761078310724.xls,A176,31/07/2024,133,93,93,93
106,July,A1831078310724.xls,A183,31/07/2024,96,96,96,96
107,July,A1841078310724.xls,A184,31/07/2024,2173,2173,2173,2173
108,July,A1891078310724.xls,A189,31/07/2024,1,,,
109,July,A1961078310724.xls,A196,31/07/2024,10,10,10,10
110,July,A1991078310724.xls,A199,31/07/2024,91,91,91,91
111,June,A1241078300624.xls,A124,30/06/2024,264,1146,1146,1146
112,June,A1251078300624.xls,A125,30/06/2024,1326,753,753,753
113,June,A1281078300624.xls,A128,30/06/2024,502,296,296,296
114,June,A1291078300624.xls,A129,30/06/2024,11263,5893,5893,5893
115,June,A1341078300624.xls,A134,30/06/2024,91,144,144,144
116,June,A1361078300624.xls,A136,30/06/2024,16,2211,2211,2211
117,June,A1381078300624.xls,A138,30/06/2024,26,62,62,62
118,June,A1411078300624.xls,A141,30/06/2024,2,44,44,44
119,June,A1481078300624.xls,A148,30/06/2024,371,320,320,320
120,June,A1491078300624.xls,A149,30/06/2024,2517,1037,1037,1037
121,June,A1501078300624.xls,A150,30/06/2024,4286,2559,2559,2559
122,June,A1511078300624.xls,A151,30/06/2024,958,1461,1461,1460
123,June,A1521078300624.xls,A152,30/06/2024,10,18,18,18
124,June,A1551078300624.xls,A155,30/06/2024,345,538,538,538
125,June,A1581078300624.xls,A158,30/06/2024,3314,1483,1483,1483
126,June,A1601078300624.xls,A160,30/06/2024,1,33,33,33
127,June,A1631078300624.xls,A163,30/06/2024,46,44,44,44
128,June,A1671078300624.xls,A167,30/06/2024,13,8,8,8
129,June,A1701078300624.xls,A170,30/06/2024,6,5,5,5
130,June,A1711078300624.xls,A171,30/06/2024,48,30,30,30
131,June,A1741078300624.xls,A174,30/06/2024,1,43,43,43
132,June,A1761078300624.xls,A176,30/06/2024,134,106,106,106
133,June,A1771078300624.xls,A177,30/06/2024,354,267,267,267
134,June,A1831078300624.xls,A183,30/06/2024,96,50,50,50
135,June,A1841078300624.xls,A184,30/06/2024,1755,815,815,815
136,June,A1891078300624.xls,A189,30/06/2024,1,,,
137,June,A1961078300624.xls,A196,30/06/2024,10,20,20,20
138,June,A1991078300624.xls,A199,30/06/2024,102,139,139,139
139,March,A1241078310324.xls,A124,31/03/2024,248,1400,1152,1152
140,March,A1251078310324.xls,A125,31/03/2024,1192,2617,1425,1425
141,March,A1281078310324.xls,A128,31/03/2024,359,646,359,287
142,March,A1291078310324.xls,A129,31/03/2024,11006,16696,11006,5690
143,March,A1341078310324.xls,A134,31/03/2024,105,165,105,60
144,March,A1361078310324.xls,A136,31/03/2024,16,322,306,306
145,March,A1381078310324.xls,A138,31/03/2024,37,102,65,65
146,March,A1411078310324.xls,A141,31/03/2024,4,44,40,40
147,March,A1481078310324.xls,A148,31/03/2024,91,197,106,106
148,March,A1491078310324.xls,A149,31/03/2024,684,335,335,335
149,March,A1501078310324.xls,A150,31/03/2024,3574,2645,2645,2645
150,March,A1511078310324.xls,A151,31/03/2024,1080,1675,1675,1675
151,March,A1521078310324.xls,A152,31/03/2024,15,17,17,17
152,March,A1551078310324.xls,A155,31/03/2024,679,679,679,679
153,March,A1581078310324.xls,A158,31/03/2024,3228,1,1,1
154,March,A1601078310324.xls,A160,31/03/2024,1,11,11,
155,March,A1631078310324.xls,A163,31/03/2024,44,28,28,28
156,March,A1671078310324.xls,A167,31/03/2024,12,8,8,8
157,March,A1701078310324.xls,A170,31/03/2024,4,11,11,11
158,March,A1741078310324.xls,A174,31/03/2024,1,36,36,36
159,March,A1761078310324.xls,A176,31/03/2024,79,121,121,121
160,March,A1831078310324.xls,A183,31/03/2024,88,51,51,51
161,March,A1841078310324.xls,A184,31/03/2024,1696,714,714,714
162,March,A1891078310324.xls,A189,31/03/2024,1,,,
163,March,A1961078310324.xls,A196,31/03/2024,18,23,23,23
164,March,A1991078310324.xls,A199,31/03/2024,84,1,1,1
165,May,A1241078310524.xls,A124,31/05/2024,306,306,306,
166,May,A1251078310524.xls,A125,31/05/2024,402,1972,1570,1570
167,May,A1281078310524.xls,A128,31/05/2024,449,759,449,310
168,May,A1291078310524.xls,A129,31/05/2024,11168,17761,11168,6593
169,May,A1341078310524.xls,A134,31/05/2024,103,194,103,91
170,May,A1361078310524.xls,A136,31/05/2024,17,18,17,1
171,May,A1381078310524.xls,A138,31/05/2024,23,95,72,72
172,May,A1411078310524.xls,A141,31/05/2024,4,58,54,54
173,May,A1481078310524.xls,A148,31/05/2024,258,463,258,205
174,May,A1491078310524.xls,A149,31/05/2024,2566,1190,1190,1190
175,May,A1501078310524.xls,A150,31/05/2024,6377,2938,2938,2938
176,May,A1511078310524.xls,A151,31/05/2024,943,1735,1735,1733
177,May,A1521078310524.xls,A152,31/05/2024,14,8,8,8
178,May,A1551078310524.xls,A155,31/05/2024,313,638,638,638
179,May,A1581078310524.xls,A158,31/05/2024,3704,1668,1668,1668
180,May,A1601078310524.xls,A160,31/05/2024,1,24,24,
181,May,A1631078310524.xls,A163,31/05/2024,47,35,35,35
182,May,A1671078310524.xls,A167,31/05/2024,12,8,8,8
183,May,A1701078310524.xls,A170,31/05/2024,7,8,8,8
184,May,A1711078310524.xls,A171,31/05/2024,43,43,43,43
185,May,A1741078310524.xls,A174,31/05/2024,1,58,58,58
186,May,A1761078310524.xls,A176,31/05/2024,78,135,135,135
187,May,A1771078310524.xls,A177,31/05/2024,375,298,298,298
188,May,A1831078310524.xls,A183,31/05/2024,98,48,48,48
189,May,A1841078310524.xls,A184,31/05/2024,1892,918,918,918
190,May,A1891078310524.xls,A189,31/05/2024,1,,,
191,May,A1961078310524.xls,A196,31/05/2024,14,21,21,21
192,May,A1991078310524.xls,A199,31/05/2024,120,119,119,119
